"","collectPoints_x","collectPoints_y","collectTimes"
"1",-79.6667327880859,43.6690788269043,"2018-01-22 13:46:43"
"2",-79.6667022705078,43.6687698364258,"2018-01-22 14:46:43"
"3",-79.667121887207,43.669075012207,"2018-01-22 15:46:43"
"4",-79.6670761108398,43.6691856384277,"2018-01-22 16:46:43"
"5",-79.6665954589844,43.6686744689941,"2018-01-22 17:46:43"
"6",-79.6671829223633,43.6692543029785,"2018-01-22 18:46:43"
"7",-79.6670379638672,43.668701171875,"2018-01-22 19:46:43"
"8",-79.6668701171875,43.6688652038574,"2018-01-22 20:46:43"
"9",-79.6670455932617,43.6690444946289,"2018-01-22 21:46:43"
"10",-79.6670837402344,43.6689453125,"2018-01-22 22:46:43"
"11",-79.6668167114258,43.6688079833984,"2018-01-22 23:46:43"
"12",-79.6672592163086,43.6696929931641,"2018-01-23 00:46:43"
"13",-79.6671981811523,43.6683616638184,"2018-01-23 01:46:43"
"14",-79.6662902832031,43.6685256958008,"2018-01-23 02:46:43"
"15",-79.6664657592773,43.6696853637695,"2018-01-23 03:46:43"
"16",-79.6672897338867,43.6686744689941,"2018-01-23 04:46:43"
"17",-79.6663284301758,43.6687202453613,"2018-01-23 05:46:43"
"18",-79.6665725708008,43.6690902709961,"2018-01-23 06:46:46"
"19",-79.6670303344727,43.6692161560059,"2018-01-23 07:46:46"
"20",-79.6669235229492,43.668571472168,"2018-01-23 08:46:46"
"21",-79.6665496826172,43.6691741943359,"2018-01-23 09:46:46"
"22",-79.6670455932617,43.6686668395996,"2018-01-23 10:46:46"
"23",-79.6674957275391,43.6683464050293,"2018-01-23 11:46:46"
"24",-79.6665802001953,43.668773651123,"2018-01-23 12:46:46"
"25",-79.6667175292969,43.6692543029785,"2018-01-23 13:46:46"
"26",-79.6669616699219,43.6692848205566,"2018-01-23 14:46:46"
"27",-79.6666564941406,43.6695022583008,"2018-01-23 15:46:46"
"28",-79.6669998168945,43.6692276000977,"2018-01-23 16:46:46"
"29",-79.6669998168945,43.6688117980957,"2018-01-23 17:46:46"
"30",-79.666877746582,43.669319152832,"2018-01-23 18:46:46"
"31",-79.6672286987305,43.6685523986816,"2018-01-23 19:46:46"
"32",-79.6668167114258,43.6689071655273,"2018-01-23 20:46:46"
"33",-79.6670684814453,43.6690521240234,"2018-01-23 21:46:46"
"34",-79.667236328125,43.6687278747559,"2018-01-23 22:46:46"
"35",-79.6665191650391,43.6687812805176,"2018-01-23 23:46:46"
"36",-79.6671829223633,43.6697616577148,"2018-01-24 00:46:46"
"37",-79.6665267944336,43.6680679321289,"2018-01-24 01:46:46"
"38",-79.6667404174805,43.6688919067383,"2018-01-24 02:46:46"
"39",-79.6665725708008,43.6697387695313,"2018-01-24 03:46:46"
"40",-79.6664123535156,43.668571472168,"2018-01-24 04:46:46"
"41",-79.666618347168,43.6687545776367,"2018-01-24 05:46:46"
"42",-79.6669158935547,43.6696319580078,"2018-01-24 06:46:46"
"43",-79.6670761108398,43.6688652038574,"2018-01-24 07:46:46"
"44",-79.6670074462891,43.6684722900391,"2018-01-24 08:46:46"
"45",-79.6667175292969,43.6692352294922,"2018-01-24 09:46:46"
"46",-79.6667175292969,43.6687660217285,"2018-01-24 10:46:46"
"47",-79.6673355102539,43.6684951782227,"2018-01-24 11:46:46"
"48",-79.6667098999023,43.6688385009766,"2018-01-24 12:46:46"
"49",-79.6669311523438,43.6693077087402,"2018-01-24 13:46:46"
"50",-79.6669464111328,43.6692504882813,"2018-01-24 14:46:46"
"51",-79.6674423217773,43.6694374084473,"2018-01-24 15:46:46"
"52",-79.6672744750977,43.6688385009766,"2018-01-24 16:46:46"
"53",-79.6663970947266,43.6684265136719,"2018-01-24 17:46:46"
"54",-79.6671142578125,43.6689414978027,"2018-01-24 18:46:46"
"55",-79.6673965454102,43.6688804626465,"2018-01-24 19:46:46"
"56",-79.6668853759766,43.6690788269043,"2018-01-24 20:46:46"
"57",-79.6670303344727,43.6688270568848,"2018-01-24 21:46:46"
"58",-79.6670303344727,43.6683883666992,"2018-01-24 22:46:46"
"59",-79.666633605957,43.6689414978027,"2018-01-24 23:46:46"
"60",-79.6669921875,43.6697196960449,"2018-01-25 00:46:46"
"61",-79.6669235229492,43.6682395935059,"2018-01-25 01:46:46"
"62",-79.666374206543,43.6686058044434,"2018-01-25 02:46:46"
"63",-79.6668701171875,43.6696319580078,"2018-01-25 03:46:46"
"64",-79.6668701171875,43.6687812805176,"2018-01-25 04:46:46"
"65",-79.6665649414063,43.6688613891602,"2018-01-25 05:46:46"
"66",-79.6667556762695,43.6692543029785,"2018-01-25 06:46:46"
"67",-79.6668701171875,43.6690063476563,"2018-01-25 07:46:46"
"68",-79.6671447753906,43.6688079833984,"2018-01-25 08:46:46"
"69",-79.6669158935547,43.669319152832,"2018-01-25 09:46:46"
"70",-79.6666412353516,43.6686248779297,"2018-01-25 10:46:46"
"71",-79.6671981811523,43.6691398620605,"2018-01-25 11:46:46"
"72",-79.6663055419922,43.6685600280762,"2018-01-25 12:46:46"
"73",-79.6668319702148,43.6692123413086,"2018-01-25 13:46:46"
"74",-79.6670837402344,43.6687927246094,"2018-01-25 14:46:46"
"75",-79.6674499511719,43.6691284179688,"2018-01-25 15:46:46"
"76",-79.667350769043,43.6688766479492,"2018-01-25 16:46:46"
"77",-79.6664886474609,43.6686782836914,"2018-01-25 17:46:46"
"78",-79.6674880981445,43.6691932678223,"2018-01-25 18:46:46"
"79",-79.6674118041992,43.6685180664063,"2018-01-25 19:46:46"
"80",-79.6666412353516,43.6690864562988,"2018-01-25 20:46:46"
"81",-79.6670684814453,43.6689643859863,"2018-01-25 21:46:46"
"82",-79.6671981811523,43.6684341430664,"2018-01-25 22:46:46"
"83",-79.6667327880859,43.6689987182617,"2018-01-25 23:46:46"
"84",-79.6665878295898,43.6689682006836,"2018-01-26 00:46:46"
"85",-79.6668243408203,43.6688117980957,"2018-01-26 01:46:46"
"86",-79.6665267944336,43.6686515808105,"2018-01-26 02:46:46"
"87",-79.6676635742188,43.6688117980957,"2018-01-26 03:46:46"
"88",-79.6667938232422,43.6686973571777,"2018-01-26 04:46:46"
"89",-79.6665954589844,43.6689987182617,"2018-01-26 05:46:46"
"90",-79.6668701171875,43.6695861816406,"2018-01-26 06:46:46"
"91",-79.6669235229492,43.6689338684082,"2018-01-26 07:46:46"
"92",-79.666862487793,43.6687660217285,"2018-01-26 08:46:46"
"93",-79.6667938232422,43.669075012207,"2018-01-26 09:46:46"
"94",-79.6670074462891,43.6685409545898,"2018-01-26 10:46:46"
"95",-79.6673126220703,43.6685943603516,"2018-01-26 11:46:46"
"96",-79.6667098999023,43.6692810058594,"2018-01-26 12:46:46"
"97",-79.6665649414063,43.6689376831055,"2018-01-26 13:46:46"
"98",-79.6670837402344,43.6688919067383,"2018-01-26 14:46:46"
"99",-79.6673355102539,43.669059753418,"2018-01-26 15:46:46"
"100",-79.6671752929688,43.6686935424805,"2018-01-26 16:46:46"
"101",-79.6665496826172,43.6687049865723,"2018-01-26 17:46:46"
"102",-79.6676635742188,43.668773651123,"2018-01-26 18:46:46"
"103",-79.6674575805664,43.6688194274902,"2018-01-26 19:46:46"
"104",-79.6667098999023,43.669303894043,"2018-01-26 20:46:46"
"105",-79.6670150756836,43.6689262390137,"2018-01-26 21:46:46"
"106",-79.66748046875,43.6686248779297,"2018-01-26 22:46:46"
"107",-79.666877746582,43.669075012207,"2018-01-26 23:46:46"
"108",-79.6667175292969,43.6686782836914,"2018-01-27 00:46:46"
"109",-79.666862487793,43.6687774658203,"2018-01-27 01:46:46"
"110",-79.6668090820313,43.6684188842773,"2018-01-27 02:46:46"
"111",-79.6666717529297,43.669319152832,"2018-01-27 03:46:46"
"112",-79.6664276123047,43.668628692627,"2018-01-27 04:46:46"
"113",-79.6662902832031,43.668758392334,"2018-01-27 05:46:46"
"114",-79.6670303344727,43.6698341369629,"2018-01-27 06:46:46"
"115",-79.6667098999023,43.6692123413086,"2018-01-27 07:46:46"
"116",-79.6665878295898,43.668571472168,"2018-01-27 08:46:46"
"117",-79.6666870117188,43.6692390441895,"2018-01-27 09:46:46"
"118",-79.6666564941406,43.6687278747559,"2018-01-27 10:46:46"
"119",-79.668083190918,43.6686134338379,"2018-01-27 12:04:22"
"120",-79.2789154052734,43.7782211303711,"2018-01-27 13:21:59"
"121",-79.2783889770508,43.7791633605957,"2018-01-27 14:21:59"
"122",-79.2404556274414,43.7855339050293,"2018-01-27 16:31:04"
"123",-79.2645492553711,43.7530288696289,"2018-01-27 18:19:23"
"124",-79.1663131713867,43.7622871398926,"2018-01-27 18:58:08"
"125",-79.0979309082031,43.8276214599609,"2018-01-27 19:53:39"
"126",-79.055534362793,43.8240852355957,"2018-01-27 20:44:41"
"127",-79.6870498657227,43.6719207763672,"2018-01-27 23:37:55"
"128",-79.6663970947266,43.6687545776367,"2018-01-28 00:29:18"
"129",-79.6660614013672,43.667911529541,"2018-01-28 01:29:18"
"130",-79.6666412353516,43.6682472229004,"2018-01-28 02:29:18"
"131",-79.6661376953125,43.6692733764648,"2018-01-28 03:29:18"
"132",-79.666259765625,43.6684036254883,"2018-01-28 04:29:18"
"133",-79.6659240722656,43.6683387756348,"2018-01-28 05:29:18"
"134",-79.6662216186523,43.6696281433105,"2018-01-28 06:29:18"
"135",-79.6668395996094,43.6693382263184,"2018-01-28 07:29:18"
"136",-79.6654968261719,43.6694717407227,"2018-01-28 08:29:18"
