Date,Time,Latitude,Longitude
2018-12-22,10:44:31 PM,49.15594482,-123.0171967
2018-12-22,10:54:35 PM,49.244133,-122.7544937
2018-12-22,10:55:56 PM,43.66936493,-79.66732025
2018-12-23,01:46:34 AM,43.66836166,-79.66719818
2018-12-22,10:56:50 PM,49.15587234,-123.0171585
2018-12-22,10:57:36 PM,43.66910553,-79.66684723
2018-12-22,11:12:45 PM,43.66942596,-79.66728973
2018-12-22,11:20:13 PM,49.15593338,-123.0172272
2018-12-23,02:07:31 AM,49.15566635,-123.0171967
2018-12-22,11:44:32 PM,49.15599823,-123.0172119
2018-12-22,11:54:35 PM,49.24412155,-122.7544785
2018-12-22,11:55:56 PM,43.66931152,-79.66739655
2018-12-23,02:46:34 AM,43.6685257,-79.66629028
2018-12-22,11:56:50 PM,49.15591812,-123.0172653
2018-12-22,08:56:50 PM,49.15587997,-123.0171738
2018-12-22,08:57:36 PM,43.66906738,-79.66685486
2018-12-22,09:12:44 PM,43.66939163,-79.66732788
2018-12-23,03:07:30 AM,49.15567398,-123.0171738
2018-12-22,09:20:13 PM,49.15595245,-123.0171585
2018-12-22,09:46:21 PM,43.66931915,-79.66713715
2018-12-23,12:54:35 AM,49.24415588,-122.7544556
2018-12-23,12:55:56 AM,43.66937256,-79.6673584
2018-12-23,12:56:50 AM,49.15589905,-123.0171051
2018-12-23,12:57:36 AM,43.66904068,-79.66683197
2018-12-23,01:12:45 AM,43.66941833,-79.66725159
2018-12-23,01:20:13 AM,49.15596008,-123.0171432
2018-12-23,01:44:31 AM,49.15595245,-123.0171738
2018-12-23,01:54:35 AM,49.2440834,-122.754425
2018-12-23,03:46:34 AM,43.66968536,-79.66646576
2018-12-23,01:55:55 AM,43.66933823,-79.66736603
2018-12-23,01:56:49 AM,49.15589905,-123.017189
2018-12-23,01:57:36 AM,43.66908264,-79.66687775
2018-12-23,04:07:30 AM,49.15564728,-123.0173035
2018-12-23,02:12:44 AM,43.66941833,-79.66726685
2018-12-23,02:20:14 AM,49.15595245,-123.0171967
2018-12-23,02:44:31 AM,49.15598297,-123.017189
2018-12-23,02:54:35 AM,49.24412155,-122.7544785
2018-12-23,04:46:34 AM,43.66867447,-79.66728973
2018-12-23,02:55:56 AM,43.66934586,-79.66734314
2018-12-22,11:57:36 PM,43.66910553,-79.66688538
2018-12-23,12:12:44 AM,43.66943741,-79.66728973
2018-12-23,05:07:30 AM,49.15565491,-123.0172424
2018-12-23,02:56:50 AM,49.15591431,-123.017189
2018-12-23,12:20:14 AM,49.15597153,-123.0171967
2018-12-23,02:57:35 AM,43.66910172,-79.66679382
2018-12-23,12:44:32 AM,49.15597916,-123.0171051
2018-12-23,05:46:35 AM,43.66872025,-79.66632843
2018-12-23,03:41:05 AM,49.24412537,-122.754509
2018-12-23,03:42:05 AM,49.24412537,-122.754509
2018-12-23,03:43:05 AM,49.24412155,-122.754509
2018-12-23,06:07:42 AM,49.15565491,-123.0171432
2018-12-23,03:44:05 AM,49.24412155,-122.754509
2018-12-23,03:44:31 AM,49.15593338,-123.0171356
2018-12-23,03:45:05 AM,49.24412155,-122.754509
2018-12-23,03:46:05 AM,49.24412155,-122.754509
2018-12-23,06:46:46 AM,43.66909027,-79.66657257
2018-12-23,03:55:55 AM,43.66934967,-79.6673584
2018-12-23,03:56:50 AM,49.15585327,-123.0171585
2018-12-23,03:57:35 AM,43.66905212,-79.66685486
2018-12-23,07:07:40 AM,49.1556282,-123.0172653
2018-12-23,04:12:45 AM,43.66945267,-79.66724396
2018-12-23,04:20:13 AM,49.15595245,-123.0171432
2018-12-23,04:44:32 AM,49.15599823,-123.0171585
2018-12-23,04:46:04 AM,49.24410629,-122.7544785
2018-12-23,07:46:51 AM,43.66921616,-79.66703033
2018-12-23,04:55:55 AM,43.66930008,-79.66738892
2018-12-23,04:56:49 AM,49.15589905,-123.0171967
2018-12-23,04:57:35 AM,43.66909409,-79.66687012
2018-12-23,08:07:40 AM,49.15565491,-123.0172424
2018-12-23,03:12:44 AM,43.66942978,-79.66728973
2018-12-23,03:20:13 AM,49.15594864,-123.0171585
2018-12-23,03:40:40 AM,NULL,NULL
2018-12-23,05:56:49 AM,49.15587616,-123.017189
2018-12-23,08:46:47 AM,43.66857147,-79.66692352
2018-12-23,05:57:36 AM,43.66910553,-79.66686249
2018-12-23,06:12:55 AM,43.66944122,-79.6672821
2018-12-23,06:20:22 AM,49.15594482,-123.0171432
2018-12-23,09:07:40 AM,49.15571213,-123.0171432
2018-12-23,06:44:42 AM,49.15602493,-123.0171738
2018-12-23,06:46:15 AM,49.24415207,-122.7544632
2018-12-23,06:56:07 AM,43.66936111,-79.66732788
2018-12-23,06:57:00 AM,49.1558609,-123.0171738
2018-12-23,09:46:47 AM,43.66917419,-79.66654968
2018-12-23,06:57:45 AM,43.66909409,-79.66683197
2018-12-23,07:12:54 AM,43.66947174,-79.66728973
2018-12-23,07:20:22 AM,49.15595245,-123.017189
2018-12-23,10:07:40 AM,49.15565109,-123.0172424
2018-12-23,07:44:41 AM,49.15596771,-123.0171967
2018-12-23,07:46:14 AM,49.24414444,-122.7544937
2018-12-23,07:56:09 AM,43.66935349,-79.66732025
2018-12-23,10:46:14 AM,49.24412537,-122.754509
2018-12-23,10:46:47 AM,43.66866684,-79.66704559
2018-12-23,07:56:59 AM,49.1558876,-123.017189
2018-12-23,07:57:45 AM,43.66910934,-79.66685486
2018-12-23,08:12:55 AM,43.66945267,-79.66730499
2018-12-23,11:07:40 AM,49.15566635,-123.017189
2018-12-23,05:12:44 AM,43.66941833,-79.66730499
2018-12-23,05:20:13 AM,49.15592575,-123.017189
2018-12-23,05:44:32 AM,49.15599442,-123.0171585
2018-12-23,05:46:04 AM,49.244133,-122.754509
2018-12-23,11:46:47 AM,43.66834641,-79.66749573
2018-12-23,05:55:55 AM,43.66936493,-79.66733551
2018-12-23,08:56:05 AM,43.6693573,-79.6673584
2018-12-23,08:56:59 AM,49.15591812,-123.017189
2018-12-23,12:07:40 PM,49.15563965,-123.0172653
2018-12-23,08:57:46 AM,43.66912842,-79.66686249
2018-12-23,09:12:53 AM,43.6694603,-79.66732025
2018-12-23,09:20:22 AM,49.15607071,-123.0172272
2018-12-23,09:44:41 AM,49.15599442,-123.0171967
2018-12-23,12:46:47 PM,43.66877365,-79.6665802
2018-12-23,09:46:14 AM,49.24414825,-122.7544937
2018-12-23,09:56:05 AM,43.66937256,-79.66735077
2018-12-23,09:56:59 AM,49.15592575,-123.0171356
2018-12-23,01:07:40 PM,49.1556282,-123.0172501
2018-12-23,09:57:45 AM,43.66908646,-79.6668396
2018-12-23,10:12:54 AM,43.66945648,-79.66726685
2018-12-23,10:20:22 AM,49.15593338,-123.0171738
2018-12-23,10:44:41 AM,49.15593338,-123.0171738
2018-12-23,01:46:47 PM,43.6692543,-79.66671753
2018-12-23,10:56:05 AM,43.669384,-79.66734314
2018-12-23,10:57:00 AM,49.15587997,-123.017189
2018-12-23,10:57:45 AM,43.6691246,-79.66688538
2018-12-23,02:07:40 PM,49.15565491,-123.0171585
2018-12-23,11:12:54 AM,43.66939926,-79.66733551
2018-12-23,08:20:23 AM,49.15591812,-123.0171585
2018-12-23,08:44:41 AM,49.15600967,-123.0171967
2018-12-23,08:46:14 AM,49.2441597,-122.7544937
2018-12-23,02:46:46 PM,43.66928482,-79.66696167
2018-12-23,11:57:45 AM,43.66905975,-79.66686249
2018-12-23,12:12:54 PM,43.66940689,-79.66735077
2018-12-23,12:20:22 PM,49.15598679,-123.0171738
2018-12-23,03:07:40 PM,49.15566635,-123.017189
2018-12-23,03:12:54 PM,43.66944504,-79.66733551
2018-12-23,12:44:41 PM,49.15600586,-123.0171585
2018-12-23,12:46:14 PM,49.24412537,-122.7544785
2018-12-23,12:56:05 PM,43.66933823,-79.6674118
2018-12-23,03:46:47 PM,43.66950226,-79.66665649
2018-12-23,12:56:59 PM,49.15590668,-123.0171738
2018-12-23,12:57:45 PM,43.66907501,-79.66682434
2018-12-23,01:12:54 PM,43.66939926,-79.66726685
2018-12-23,04:07:40 PM,49.15562057,-123.0172119
2018-12-23,01:20:22 PM,49.15596771,-123.0171204
2018-12-23,01:44:41 PM,49.15597534,-123.0171967
2018-12-23,01:46:14 PM,49.2441597,-122.7544785
2018-12-23,01:56:05 PM,43.66937256,-79.66736603
2018-12-23,04:46:46 PM,43.6692276,-79.66699982
2018-12-23,01:56:59 PM,49.15587997,-123.0171738
2018-12-23,01:57:45 PM,43.66912842,-79.6668396
2018-12-23,11:20:22 AM,49.15596771,-123.0172272
2018-12-23,05:07:40 PM,49.15568161,-123.0172272
2018-12-23,11:44:41 AM,49.15595245,-123.0171432
2018-12-23,11:46:14 AM,49.24411392,-122.7544937
2018-12-23,11:56:05 AM,43.6693306,-79.66731262
2018-12-23,11:56:59 AM,49.15585709,-123.0173035
2018-12-23,05:46:46 PM,43.6688118,-79.66699982
2018-12-23,02:56:59 PM,49.1558876,-123.0172424
2018-12-23,02:57:45 PM,43.66897964,-79.66703033
2018-12-23,05:57:45 PM,43.66906738,-79.66687012
2018-12-23,06:07:40 PM,49.15565491,-123.017189
2018-12-23,03:20:22 PM,49.15591812,-123.017189
2018-12-23,03:44:41 PM,49.15599823,-123.0171432
2018-12-23,03:46:14 PM,49.24411392,-122.754509
2018-12-23,03:56:05 PM,43.66934586,-79.66735077
2018-12-23,06:46:46 PM,43.66931915,-79.66687775
2018-12-23,03:56:59 PM,49.15586853,-123.0171585
2018-12-23,03:57:45 PM,43.66905594,-79.66677094
2018-12-23,04:12:53 PM,43.66939926,-79.66728973
2018-12-23,07:07:40 PM,49.15566254,-123.0173721
2018-12-23,04:20:22 PM,49.15594101,-123.0171585
2018-12-23,04:44:41 PM,49.15593719,-123.0171356
2018-12-23,04:46:14 PM,49.24412537,-122.754509
2018-12-23,04:56:05 PM,43.66934204,-79.6673584
2018-12-23,07:46:46 PM,43.6685524,-79.6672287
2018-12-23,04:56:59 PM,49.1558609,-123.0171432
2018-12-23,04:57:45 PM,43.66905212,-79.66690826
2018-12-23,07:57:44 PM,43.66910934,-79.66680145
2018-12-23,08:07:40 PM,49.15565491,-123.0172119
2018-12-23,02:12:53 PM,43.66942978,-79.66732025
2018-12-23,02:20:23 PM,49.15595245,-123.017189
2018-12-23,05:12:53 PM,43.66941452,-79.66731262
2018-12-23,02:44:41 PM,49.15602112,-123.0171967
2018-12-23,08:46:46 PM,43.66890717,-79.66681671
2018-12-23,02:46:14 PM,49.244133,-122.7544785
2018-12-23,02:56:05 PM,43.66934967,-79.66738892
2018-12-23,05:56:59 PM,49.15587616,-123.0172119
2018-12-23,09:07:40 PM,49.15565109,-123.0171967
2018-12-23,06:12:53 PM,43.66943741,-79.6673584
2018-12-23,06:20:22 PM,49.15601349,-123.0171356
2018-12-23,06:44:41 PM,49.15597916,-123.0171585
2018-12-23,06:46:14 PM,49.24412918,-122.754509
2018-12-23,09:46:46 PM,43.66905212,-79.66706848
2018-12-23,06:56:05 PM,43.66933823,-79.66734314
2018-12-23,06:56:59 PM,49.15587234,-123.0172501
2018-12-23,06:57:45 PM,43.66906738,-79.6668396
2018-12-23,10:07:40 PM,49.15565872,-123.0171432
2018-12-23,07:12:53 PM,43.66941071,-79.66730499
2018-12-23,07:20:23 PM,49.15592957,-123.0171967
2018-12-23,07:44:41 PM,49.15595245,-123.017189
2018-12-23,07:46:14 PM,49.24412155,-122.754509
2018-12-23,10:46:46 PM,43.66872787,-79.66723633
2018-12-23,07:56:04 PM,43.66934967,-79.66728973
2018-12-23,07:56:59 PM,49.15587616,-123.0171967
2018-12-23,08:12:53 PM,43.66940689,-79.6672821
2018-12-23,11:07:39 PM,49.15565491,-123.0171738
2018-12-23,08:20:23 PM,49.15595627,-123.0171738
2018-12-23,08:44:40 PM,49.15591812,-123.0171356
2018-12-23,08:46:14 PM,49.24414063,-122.7544937
2018-12-23,05:20:22 PM,49.15595245,-123.0171738
2018-12-23,11:46:46 PM,43.66878128,-79.66651917
2018-12-23,05:44:41 PM,49.1559906,-123.0171356
2018-12-23,05:46:14 PM,49.24412537,-122.7544403
2018-12-23,08:56:04 PM,43.66934586,-79.66737366
2018-12-24,12:07:40 AM,49.15570068,-123.0172272
2018-12-23,05:56:05 PM,43.66938019,-79.66733551
2018-12-23,09:12:53 PM,43.66939926,-79.66731262
2018-12-23,09:20:22 PM,49.15596008,-123.0171432
2018-12-23,09:44:40 PM,49.1560173,-123.0171204
2018-12-24,12:46:46 AM,43.66976166,-79.66718292
2018-12-24,12:56:04 AM,43.66936874,-79.6673584
2018-12-23,09:46:13 PM,49.24414063,-122.7544556
2018-12-23,09:56:04 PM,43.669384,-79.66734314
2018-12-24,01:07:39 AM,49.1556282,-123.0171967
2018-12-23,09:56:59 PM,49.15590668,-123.0171432
2018-12-23,09:57:44 PM,43.66914368,-79.66689301
2018-12-23,10:12:53 PM,43.66943359,-79.66728973
2018-12-23,10:20:22 PM,49.15594101,-123.0171432
2018-12-24,01:46:46 AM,43.66806793,-79.66652679
2018-12-23,10:44:40 PM,49.15597916,-123.0171967
2018-12-23,10:46:13 PM,49.244133,-122.7544937
2018-12-23,10:56:04 PM,43.66936111,-79.66732025
2018-12-24,02:07:39 AM,49.15567017,-123.0172119
2018-12-23,10:56:58 PM,49.15587997,-123.0171585
2018-12-23,10:57:44 PM,43.66909409,-79.66687012
2018-12-23,11:12:53 PM,43.66941833,-79.66729736
2018-12-23,11:20:22 PM,49.15598679,-123.0172272
2018-12-24,02:46:46 AM,43.66889191,-79.66674042
2018-12-23,11:44:40 PM,49.15594482,-123.0171967
2018-12-23,11:46:13 PM,49.24412155,-122.7544556
2018-12-23,11:56:04 PM,43.66930008,-79.66740417
2018-12-24,03:07:39 AM,49.15567398,-123.017189
2018-12-23,11:56:58 PM,49.15598679,-123.0172806
2018-12-23,11:57:44 PM,43.66909409,-79.66689301
2018-12-23,08:56:58 PM,49.15588379,-123.0171585
2018-12-23,08:57:44 PM,43.66907501,-79.66683197
2018-12-24,03:46:46 AM,43.66973877,-79.66657257
2018-12-24,12:44:41 AM,49.15596008,-123.0171051
2018-12-24,12:46:13 AM,49.2441597,-122.7544403
2018-12-24,03:57:44 AM,43.66905975,-79.6668396
2018-12-24,04:07:39 AM,49.1556282,-123.0172806
2018-12-24,12:56:58 AM,49.15591431,-123.0170898
2018-12-24,12:57:44 AM,43.66906357,-79.66681671
2018-12-24,01:12:53 AM,43.66941452,-79.66725922
2018-12-24,01:20:22 AM,49.15595245,-123.0171432
2018-12-24,04:46:46 AM,43.66857147,-79.66641235
2018-12-24,01:44:40 AM,49.15596008,-123.0171738
2018-12-24,01:46:13 AM,49.24411392,-122.7544403
2018-12-24,01:56:04 AM,43.66933823,-79.66734314
2018-12-24,05:07:39 AM,49.15564346,-123.0172424
2018-12-24,01:56:58 AM,49.15590286,-123.0171967
2018-12-24,01:57:45 AM,43.66907501,-79.66687012
2018-12-24,02:12:53 AM,43.66941833,-79.66725159
2018-12-24,05:46:58 AM,43.66875458,-79.66661835
2018-12-24,02:20:22 AM,49.15596771,-123.0171967
2018-12-24,02:44:40 AM,49.15599442,-123.0171967
2018-12-24,06:07:39 AM,49.15565491,-123.0171585
2018-12-24,02:46:13 AM,49.24412537,-122.7544785
2018-12-24,02:56:04 AM,43.66936493,-79.66732025
2018-12-24,02:56:58 AM,49.15591431,-123.0171967
2018-12-24,12:12:53 AM,43.66944122,-79.66728973
2018-12-24,06:47:01 AM,43.66963196,-79.66691589
2018-12-24,12:20:22 AM,49.15596008,-123.0171738
2018-12-24,03:56:58 AM,49.15587997,-123.0171585
2018-12-24,04:12:54 AM,43.66944122,-79.66724396
2018-12-24,07:08:04 AM,49.15563202,-123.0172806
2018-12-24,07:12:56 AM,43.66944122,-79.66729736
2018-12-24,04:20:21 AM,49.15592957,-123.0171432
2018-12-24,04:46:13 AM,49.24412155,-122.754509
2018-12-24,04:56:04 AM,43.66931152,-79.66739655
2018-12-24,07:46:46 AM,43.6688652,-79.66707611
2018-12-24,04:56:58 AM,49.1558876,-123.017189
2018-12-24,04:57:44 AM,43.66910172,-79.66690063
2018-12-24,05:46:24 AM,49.244133,-122.7544937
2018-12-24,08:07:39 AM,49.15564728,-123.0172272
2018-12-24,05:56:20 AM,43.66936493,-79.66733551
2018-12-24,05:58:03 AM,43.66911697,-79.66687012
2018-12-24,06:12:53 AM,43.66944504,-79.66728973
2018-12-24,02:57:44 AM,43.66909409,-79.66681671
2018-12-24,08:46:45 AM,43.66847229,-79.66700745
2018-12-24,03:12:53 AM,43.66943359,-79.6672821
2018-12-24,03:20:22 AM,49.15594482,-123.0171585
2018-12-24,08:57:44 AM,43.66913223,-79.66687012
2018-12-24,09:07:38 AM,49.15571976,-123.0171585
2018-12-24,03:44:40 AM,49.15596771,-123.0171356
2018-12-24,03:46:13 AM,49.24412918,-122.7544937
2018-12-24,03:56:04 AM,43.66934967,-79.66736603
2018-12-24,06:57:48 AM,43.66908646,-79.6668396
2018-12-24,09:46:46 AM,43.66923523,-79.66671753
2018-12-24,07:20:29 AM,49.15591812,-123.0171738
2018-12-24,07:44:45 AM,49.1559639,-123.0171967
2018-12-24,04:44:40 AM,49.15596008,-123.0171738
2018-12-24,10:07:39 AM,49.15568542,-123.017189
2018-12-24,07:46:23 AM,49.24414444,-122.7544937
2018-12-24,07:56:05 AM,43.66936111,-79.66733551
2018-12-24,07:57:56 AM,43.66910172,-79.66685486
